restaurant_name,restaurant_rating,restaurant_review_count,restaurant_price,restaurant_cuisine,restaurant_promotion,restaurant_booked_times,restaurant_remaining_timeslots,restaurant_special_offers
Roseate Villa,4.5,(73),$$$$,• Contemporary British • Bath,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
Root Spice,4.7,(39),$$$$,• Indian • Bath,Promoted,Booked 3 times today,Booked 3 times today,British Icons Set Menu
The Old Thatched Cottage,4.6,(1586),$$$$,• Steakhouse • Weston-Super-Mare,Promoted,Booked 14 times today You're in luck! We still have 4 timeslots left,Booked 14 times today You're in luck! We still have 4 timeslots left,British Icons Set Menu
"Sweet Little Things, Bath",4.3,(134),$$$$,• Afternoon Tea • Bath,Promoted,Booked 2 times today You're in luck! We still have 2 timeslots left,Booked 2 times today You're in luck! We still have 2 timeslots left,British Icons Set Menu
The Griffin Inn,4.7,(124),$$$$,• Gastro Pub • Bath,Promoted,Booked 3 times today,Booked 3 times today,British Icons Set Menu
The Congresbury Arms,4.4,(462),$$$$,• British • Congresbury,Promoted,Booked 4 times today,Booked 4 times today,British Icons Set Menu
The Cider Press,4.262146892655368,(0),$$$$,• Pub • Bristol,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
The Orange Artichoke,3.600000000000001,(70),$$$$,• British • Bath,Promoted,Top experience,Top experience,Côte De Boeuf For 2
Amarone,4.5,(24),$$$$,• Italian • Bath,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
The White Harte - Bristol,3.600000000000001,(2),$$$$,• British • Bristol,Promoted,You're in luck! We still have 3 timeslots left,You're in luck! We still have 3 timeslots left,British Icons Set Menu
Kibou Cheltenham,4.8,(54),$$$$,• Japanese • Cheltenham,Promoted,Booked 37 times today,Booked 37 times today,British Icons Set Menu
The Plough - Wrington,4.6,(258),$$$$,• Pub • Weston-Super-Mare,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
Brasserie Beau,4.4,(50),$$$$,• Contemporary British • Bath,Promoted,Booked 2 times today Top experience,Booked 2 times today Top experience,Steak Offer Night
The Bath Priory - The Restaurant,4.3,(57),$$$$,• Contemporary British • Bath,Promoted,Booked 7 times today Top experience,Booked 7 times today Top experience,Pantry Lunch & Supper
The Ivy Cardiff,4.5,(14079),$$$$,• Contemporary British • Cardiff,Promoted,Booked 86 times today Top experience,Booked 86 times today Top experience,British Icons Set Menu
The Halfpenny,4.6,(6),$$$$,• Café • Bath,Promoted,You're in luck! We still have 2 timeslots left,You're in luck! We still have 2 timeslots left,British Icons Set Menu
The Moorend Spout,4.3,(194),$$$$,• Pub • Bristol,Promoted,You're in luck! We still have 4 timeslots left,You're in luck! We still have 4 timeslots left,British Icons Set Menu
Emma's Bar Restaurant Cafe,3.600000000000001,(69),$$$$,• Contemporary British • Bath,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
IL FIORE,4.7,(141),$$$$,• Italian • Chepstow,Promoted,Booked 10 times today,Booked 10 times today,British Icons Set Menu
Old Post Office Bristol,5.0,(1),$$$$,• British • Bristol,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
The Mint Room,4.3,(20),$$$$,• Indian • Bath,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
The Anchor - Bristol,4.7,(0),$$$$,• Pub • Bristol,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
The Dumb Post Inn,4.6,(778),$$$$,• Gastro Pub • Calne,Promoted,Booked 10 times today,Booked 10 times today,British Icons Set Menu
Se7en,4.0,(3),$$$$,• Barbecue • Bath,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
Bill's Restaurant & Bar - Cardiff Central,4.4,(1857),$$$$,• British • Cardiff,Promoted,Booked 41 times today,Booked 41 times today,British Icons Set Menu
The Royal Wootton Bassett,4.6,(2064),$$$$,• British • Swindon,Promoted,Booked 17 times today You're in luck! We still have 4 timeslots left,Booked 17 times today You're in luck! We still have 4 timeslots left,British Icons Set Menu
Pizzeria Villaggio,4.8,(946),$$$$,• Pizzeria • Cardiff,Promoted,Booked 10 times today You're in luck! We still have 4 timeslots left,Booked 10 times today You're in luck! We still have 4 timeslots left,British Icons Set Menu
The Abbey Tea Bar,3.9,(167),$$$$,• Afternoon Tea • Bath,Promoted,You're in luck! We still have 2 timeslots left,You're in luck! We still have 2 timeslots left,British Icons Set Menu
